Date,Open,High,Low,Close,Volume
07/11/2025,"72.57","73.18","72.12","72.71","10,136,040"
07/10/2025,"72.40","73.56","71.39","73.36","11,542,370"
07/09/2025,"72.51","73.49","71.30","72.26","18,453,461"
07/08/2025,"72.33","73.50","71.80","71.95","16,356,820"
07/07/2025,"74.43","74.81","71.45","71.55","22,050,920"
07/03/2025,"74.83","75.34","74.13","75.18","10,217,990"
07/02/2025,"76.19","79.09","73.78","74.25","39,388,473"
07/01/2025,"76.73","77.78","75.04","76.24","16,702,109"
06/30/2025,"78.40","78.44","76.71","77.40","17,072,920"
06/27/2025,"78.85","79.00","76.41","77.16","27,254,029"
06/26/2025,"79.03","81.12","77.45","79.97","37,440,578"
06/25/2025,"76.37","76.49","74.60","75.93","19,426,650"
06/24/2025,"72.39","75.44","71.91","75.21","26,999,801"
06/23/2025,"72.99","73.18","69.18","70.78","26,862,070"
06/20/2025,"77.06","77.32","73.30","73.51","46,009,129"
06/18/2025,"74.53","77.65","73.73","74.95","55,359,770"
06/17/2025,"70.22","72.75","69.17","69.99","25,313,410"
06/16/2025,"68.52","71.28","68.04","70.42","19,706,141"
06/13/2025,"68.06","68.97","66.97","67.19","14,159,790"
06/12/2025,"67.94","70.06","67.77","69.64","11,862,640"
06/11/2025,"69.39","70.24","67.64","68.24","13,885,470"
